index,source_index,raw_gripper_m,threshold_m,command_gripper_m,feedback_gripper_m
674,639,0.054659612,0.035000000,0.070000000,0.069500000
677,639,0.055050492,0.035000000,0.070000000,0.069500000
680,639,0.054959442,0.035000000,0.070000000,0.069500000
683,639,0.054544847,0.035000000,0.070000000,0.069500000
686,639,0.054988906,0.035000000,0.070000000,0.069500000
690,639,0.055030543,0.035000000,0.070000000,0.069500000
693,639,0.055566221,0.035000000,0.070000000,0.069500000
696,639,0.056173123,0.035000000,0.070000000,0.069500000
699,639,0.056298483,0.035000000,0.070000000,0.069500000
704,639,0.055938948,0.035000000,0.070000000,0.069500000
707,639,0.055274136,0.035000000,0.070000000,0.069500000
710,639,0.055310361,0.035000000,0.070000000,0.069500000
713,639,0.055592462,0.035000000,0.070000000,0.069500000
717,639,0.054817930,0.035000000,0.070000000,0.069500000
732,720,0.056143779,0.035000000,0.070000000,0.069500000
740,720,0.056658335,0.035000000,0.070000000,0.069500000
743,720,0.056445643,0.035000000,0.070000000,0.069500000
746,720,0.056191888,0.035000000,0.070000000,0.069500000
749,720,0.056652714,0.035000000,0.070000000,0.069500000
753,720,0.056190588,0.035000000,0.070000000,0.069500000
756,720,0.055960428,0.035000000,0.070000000,0.069500000
759,720,0.056138791,0.035000000,0.070000000,0.069500000
762,720,0.055726178,0.035000000,0.070000000,0.069500000
767,720,0.055393763,0.035000000,0.070000000,0.069500000
770,720,0.055525925,0.035000000,0.070000000,0.069500000
773,720,0.055093586,0.035000000,0.070000000,0.069500000
778,720,0.055442464,0.035000000,0.070000000,0.069500000
782,720,0.055816419,0.035000000,0.070000000,0.069500000
789,720,0.054920953,0.035000000,0.070000000,0.069500000
795,720,0.054975774,0.035000000,0.070000000,0.069500000
798,720,0.054084692,0.035000000,0.070000000,0.069500000
801,720,0.053529095,0.035000000,0.070000000,0.069500000
804,720,0.053431191,0.035000000,0.070000000,0.069500000
809,720,0.050377525,0.035000000,0.070000000,0.069500000
826,814,0.055837642,0.035000000,0.070000000,0.069500000
834,814,0.056276653,0.035000000,0.070000000,0.069500000
837,814,0.056300215,0.035000000,0.070000000,0.069500000
840,814,0.055544186,0.035000000,0.070000000,0.069500000
843,814,0.055755042,0.035000000,0.070000000,0.069500000
848,814,0.056053713,0.035000000,0.070000000,0.069500000
851,814,0.055945553,0.035000000,0.070000000,0.069500000
854,814,0.056184553,0.035000000,0.070000000,0.069500000
857,814,0.055453219,0.035000000,0.070000000,0.069500000
861,814,0.055649772,0.035000000,0.070000000,0.069500000
865,814,0.054603577,0.035000000,0.070000000,0.069500000
868,814,0.054461166,0.035000000,0.070000000,0.069500000
871,814,0.054846935,0.035000000,0.070000000,0.069500000
874,814,0.054676227,0.035000000,0.070000000,0.069500000
877,814,0.055036418,0.035000000,0.070000000,0.069500000
880,814,0.055345654,0.035000000,0.070000000,0.069500000
883,814,0.053645246,0.035000000,0.070000000,0.069500000
888,814,0.054515649,0.035000000,0.070000000,0.069500000
891,814,0.052583970,0.035000000,0.070000000,0.069500000
894,814,0.052371949,0.035000000,0.070000000,0.069500000
912,900,0.056471605,0.035000000,0.070000000,0.069500000
920,900,0.055789500,0.035000000,0.070000000,0.069500000
923,900,0.056034159,0.035000000,0.070000000,0.069500000
926,900,0.055958118,0.035000000,0.070000000,0.069500000
930,900,0.056091446,0.035000000,0.070000000,0.069500000
933,900,0.056407496,0.035000000,0.070000000,0.069500000
936,900,0.056244582,0.035000000,0.070000000,0.069500000
942,900,0.056263197,0.035000000,0.070000000,0.069500000
946,900,0.055686656,0.035000000,0.070000000,0.069500000
949,900,0.055851843,0.035000000,0.070000000,0.069500000
952,900,0.055803113,0.035000000,0.070000000,0.069500000
955,900,0.055688128,0.035000000,0.070000000,0.069500000
961,900,0.055721655,0.035000000,0.070000000,0.069500000
964,900,0.056035902,0.035000000,0.070000000,0.069500000
